Update: [2013/12/05 12:01:38 (5.793938563)]
625] c0      1 Bluetooth: HCI device and connection manager initialized
<6>[    1.608698] c1     62 mmc0: ext_csd 0000ea00000000000000000000000000
<6>[    1.608728] c1     62 mmc0: ext_csd 00000000000000000000000000010000
<6>[    1.608759] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608789] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608820] c1     62 mmc0: ext_csd 02010400000000010100000000000000
<6>[    1.608850] c1     62 mmc0: ext_csd 006c3535663232000000000000000000
<6>[    1.608881] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608911] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608942] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.608972] c1     62 mmc0: ext_csd 00000000000000000000000000000000
<6>[    1.610712] c1     62 mmc0: set ext_csd.erase_group_def
<6>[    1.617640] c1     62 mmc0: switch to bus width 8
<6>[    1.618861] c1     62 mmc0: new high speed DDR MMC card at address 0001
<6>[    1.619899] c1     62 mmcblk0: mmc0:0001 SEM16G 14.6 GiB 
<4>[    1.637356] c0      1 msm-pcm-routing msm-pcm-routing: ASoC: Failed to create MI2S_UL_HL debugfs file
<6>[    1.650328] c1     62  mmcblk0: p1 p2 p3 p4 < p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 p19 p20 p21 p22 p23 p24 p25 p26 p27 p28 p29 p30 p31 p32 p33 p34 p35 p36 p37 p38 p39 p40 p41 >
<6>[    1.662475] c1     62 mmc_rescan_try_freq: Find a MMC/eMMC card
<6>[    1.662566] c1     62 mmc1: mmc_rescan wq diff time= 1656 ms
<3>[    1.662597] c1     62 mmc1: SD may not be rescanned successfully! wq diff time = 1656 ms, irq diff time = 0 ms
<6>[    1.683259] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia1 mapping ok
<6>[    1.684602] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia2 mapping ok
<6>[    1.686128] c0      1 asoc: snd-soc-dummy-dai <-> CS-VOICE mapping ok
<6>[    1.687471] c0      1 asoc: snd-soc-dummy-dai <-> VoIP mapping ok
<6>[    1.688722] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia3 mapping ok
<6>[    1.690065] c0      1 asoc: snd-soc-dummy-dai <-> SLIMBUS0_HOSTLESS mapping ok
<6>[    1.691408] c0      1 asoc: snd-soc-dummy-dai <-> INT_FM_HOSTLESS mapping ok
<6>[    1.692629] c0      1 asoc: msm-stub-rx <-> msm-dai-q6.241 mapping ok
<6>[    1.693850] c0      1 asoc: msm-stub-tx <-> msm-dai-q6.240 mapping ok
<6>[    1.695193] c0      1 asoc: snd-soc-dummy-dai <-> VOICE_STUB mapping ok
<6>[    1.698245] c0      1 asoc: tabla_rx1 <-> msm-dai-q6.16384 mapping ok
<6>[    1.704166] c0      1 asoc: tabla_tx1 <-> msm-dai-q6.16385 mapping ok
<6>[    1.705325] c0      1 asoc: msm-stub-rx <-> msm-dai-q6.12288 mapping ok
<6>[    1.706546] c0      1 asoc: msm-stub-tx <-> msm-dai-q6.12289 mapping ok
<6>[    1.707675] c0      1 asoc: msm-stub-rx <-> msm-dai-q6.12292 mapping ok
<6>[    1.708835] c0      1 asoc: msm-stub-tx <-> msm-dai-q6.12293 mapping ok
<6>[    1.709995] c0      1 asoc: msm-stub-rx <-> msm-dai-q6-hdmi.8 mapping ok
<6>[    1.711155] c0      1 asoc: msm-stub-tx <-> msm-dai-q6.1 mapping ok
<6>[    1.712284] c0      1 asoc: msm-stub-rx <-> msm-dai-q6-mi2s mapping ok
<6>[    1.713444] c0      1 asoc: msm-stub-tx <-> msm-dai-q6-mi2s mapping ok
<6>[    1.714603] c0      1 asoc: msm-stub-rx <-> msm-dai-q6.224 mapping ok
<6>[    1.715763] c0      1 asoc: msm-stub-tx <-> msm-dai-q6.225 mapping ok
<6>[    1.717045] c0      1 asoc: msm-stub-rx <-> msm-dai-q6.2 mapping ok
<6>[    1.718174] c0      1 asoc: msm-stub-tx <-> msm-dai-q6.3 mapping ok
<6>[    1.719334] c0      1 asoc: tabla_rx2 <-> msm-dai-stub mapping ok
<6>[    1.720494] c0      1 asoc: tabla_tx1 <-> msm-dai-stub mapping ok
<6>[    1.721654] c0      1 asoc: msm-stub-rx <-> msm-dai-q6.16386 mapping ok
<6>[    1.722783] c0      1 asoc: msm-stub-tx <-> msm-dai-q6.16387 mapping ok
<6>[    1.724034] c0      1 asoc: tabla_tx2 <-> msm-dai-q6.16389 mapping ok
<6>[    1.725194] c0      1 asoc: msm-stub-rx <-> msm-dai-q6.16392 mapping ok
<6>[    1.726232] c0      1 asoc: msm-stub-tx <-> msm-dai-q6.16393 mapping ok
<6>[    1.726751] c0      1 asoc: tabla_tx3 <-> msm-dai-stub mapping ok
<6>[    1.727269] c0      1 asoc: msm-stub-rx <-> msm-dai-q6.16390 mapping ok
<6>[    1.727941] c0      1 asoc: snd-soc-dummy-dai <-> SLIMBUS0_HOSTLESS mapping ok
<6>[    1.728551] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia5 mapping ok
<6>[    1.729162] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia6 mapping ok
<6>[    1.729833] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia4 mapping ok
<6>[    1.730444] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia7 mapping ok
<6>[    1.731115] c0      1 asoc: snd-soc-dummy-dai <-> MultiMedia8 mapping ok
<6>[    1.731817] c0      1 asoc: snd-soc-dummy-dai <-> VOICE2_STUB mapping ok
<6>[    1.732458] c0      1 asoc: snd-soc-dummy-dai <-> MM_STUB mapping ok
<3>[    1.734167] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_STUB_DL not found
<3>[    1.734228] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_STUB_DL not found
<3>[    1.734320] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOICE2_STUB_DL not found
<3>[    1.734381] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOICE2_STUB_DL not found
<3>[    1.734442] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOICE2_STUB_UL not found
<3>[    1.734503] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOICE2_STUB_UL not found
<3>[    1.734564] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL8 not found
<3>[    1.734625] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL8 not found
<3>[    1.734716] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL7 not found
<3>[    1.734777] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL7 not found
<3>[    1.734839] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL4 not found
<3>[    1.734900] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL4 not found
<3>[    1.734991] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL4 not found
<3>[    1.735052] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL4 not found
<3>[    1.735144] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL6 not found
<3>[    1.735174] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL6 not found
<3>[    1.735266] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL5 not found
<3>[    1.735327] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL5 not found
<3>[    1.735418] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOICE_STUB_DL not found
<3>[    1.735479] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOICE_STUB_DL not found
<3>[    1.735540] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOICE_STUB_UL not found
<3>[    1.735602] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOICE_STUB_UL not found
<3>[    1.735663] c0      1 soc-audio soc-audio.0: DAI AIF widget for INTFM_DL_HL not found
<3>[    1.735724] c0      1 soc-audio soc-audio.0: DAI AIF widget for INTFM_DL_HL not found
<3>[    1.735815] c0      1 soc-audio soc-audio.0: DAI AIF widget for INTFM_UL_HL not found
<3>[    1.735937] c0      1 soc-audio soc-audio.0: DAI AIF widget for INTFM_UL_HL not found
<3>[    1.736029] c0      1 soc-audio soc-audio.0: DAI AIF widget for SLIM0_DL_HL not found
<3>[    1.736090] c0      1 soc-audio soc-audio.0: DAI AIF widget for SLIM0_DL_HL not found
<3>[    1.736151] c0      1 soc-audio soc-audio.0: DAI AIF widget for SLIM0_UL_HL not found
<3>[    1.736212] c0      1 soc-audio soc-audio.0: DAI AIF widget for SLIM0_UL_HL not found
<3>[    1.736303] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL3 not found
<3>[    1.736365] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL3 not found
<3>[    1.736426] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOIP_DL not found
<3>[    1.736487] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOIP_DL not found
<3>[    1.736578] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOIP_UL not found
<3>[    1.736639] c0      1 soc-audio soc-audio.0: DAI AIF widget for VOIP_UL not found
<3>[    1.736700] c0      1 soc-audio soc-audio.0: DAI AIF widget for CS-VOICE_DL1 not found
<3>[    1.736761] c0      1 soc-audio soc-audio.0: DAI AIF widget for CS-VOICE_DL1 not found
<3>[    1.736853] c0      1 soc-audio soc-audio.0: DAI AIF widget for CS-VOICE_UL1 not found
<3>[    1.736914] c0      1 soc-audio soc-audio.0: DAI AIF widget for CS-VOICE_UL1 not found
<3>[    1.736975] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL2 not found
<3>[    1.737036] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL2 not found
<3>[    1.737128] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL2 not found
<3>[    1.737189] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL2 not found
<3>[    1.737250] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL1 not found
<3>[    1.737311] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_DL1 not found
<3>[    1.737402] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL1 not found
<3>[    1.737463] c0      1 soc-audio soc-audio.0: DAI AIF widget for MM_UL1 not found
<6>[    1.739905] c0      1 input: apq8064-tabla-snd-card Button Jack as /devices/platform/soc-audio.0/sound/card0/input10
<6>[    1.740424] c0      1 input: apq8064-tabla-snd-card Headset Jack as /devices/platform/soc-audio.0/sound/card0/input11
<6>[    1.744269] c0      1 u32 classifier
<6>[    1.744300] c0      1     Actions configured
<6>[    1.744330] c0      1 Netfilter messages via NETLINK v0.30.
<6>[    1.744452] c0      1 nf_conntrack version 0.5.0 (16384 buckets, 65536 max)
<6>[    1.745673] c0      1 ctnetlink v0.93: registering with nfnetlink.
<6>[    1.745765] c0      1 NF_TPROXY: Transparent proxy support initialized, version 4.1.0
<6>[    1.745795] c0      1 NF_TPROXY: Copyright (c) 2006-2007 BalaBit IT Ltd.
<6>[    1.746345] c0      1 xt_time: kernel timezone is -0000
<3>[    1.746650] c0      1 [NET]tcp_init_mem:limit=13963,128UL=128
<6>[    1.746680] c0      1 [NET]tcp_init_mem:limit=111704,tcp_mem[0]=83778,tcp_mem[1]=111704,tcp_mem[2]=167556
<6>[    1.747382] c0      1 ip_tables: (C) 2000-2006 Netfilter Core Team
<6>[    1.747901] c0      1 arp_tables: (C) 2002 David S. Miller
<6>[    1.748084] c0      1 TCP: cubic registered
<6>[    1.748084] c0      1 Initializing XFRM netlink socket
<6>[    1.748786] c0      1 NET: Registered protocol family 10
<7>[    1.749519] c0      1 [NET][IPV6][RULE] fib6_rules_init 
<7>[    1.749549] c0      1 [NET][IPV6][RULE] fib6_rules_net_init 
<7>[    1.749580] c0      1 [NET][CORE][RULE] fib_rules_register 
<7>[    1.749580] c0      1 [NET][CORE][RULE] __fib_rules_register ,owner=(null)
<7>[    1.749610] c0      1 [NET][CORE][RULE] fib_default_rule_add ,owner=(null)
<7>[    1.749641] c0      1 [NET][CORE][RULE] fib_default_rule_add ,owner=(null)
<6>[    1.752662] c0      1 Mobile IPv6
<6>[    1.752754] c0      1 ip6_tables: (C) 2000-2006 Netfilter Core Team
<6>[    1.753181] c0      1 IPv6 over IPv4 tunneling driver
<7>[    1.753761] c0      1 [NET][CORE][RULE] attach_rules 
<7>[    1.753761] c0      1 [NET][CORE][RULE] attach_rules 
<6>[    1.754249] c0      1 NET: Registered protocol family 17
<6>[    1.754341] c0      1 NET: Registered protocol family 15
<6>[    1.754524] c0      1 Bluetooth: RFCOMM TTY layer initialized
<6>[    1.754555] c0      1 Bluetooth: RFCOMM socket layer initialized
<6>[    1.754585] c0      1 Bluetooth: RFCOMM ver 1.11
<6>[    1.754616] c0      1 Bluetooth: BNEP (Ethernet Emulation) ver 1.3
<6>[    1.754646] c0      1 Bluetooth: BNEP filters: protocol multicast
<6>[    1.754677] c0      1 Bluetooth: HIDP (Human Interface Emulation) ver 1.2
<5>[    1.754829] c0      1 Registering the dns_resolver key type
<3>[    1.755074] c0      1 mipi_dlp_china_device_register
<6>[    1.755562] c0      1 [DISP] mipi_video_sony_init
<6>[    1.755592] c0      1 [DISP] dlp_china_panel_init panel ID = PANEL_ID_DLXJ_SONY_RENESAS
<6>[    1.755623] c0      1 [DISP] dlp_china_panel_init
<6>[    1.756081] c0      1 setting pdata->panel_info.fb_num to 3. type: 8
<6>[    1.761635] c0      1 msm_fb_resolution_override : ovr_src_height : 1920, ovr_src_width : 1080, ovr_dst_height : 1920, ovr_dst_width : 1080
<6>[    1.761666] c0      1 [DISP] update panel framerate 59 -> 60
<6>[    1.772867] c0      1 FrameBuffer[0] 1080x1920 size=25067520 bytes is registered successfully!
<7>[    1.773477] c0      1 Registered led device: lcd-backlight
<6>[    1.773630] c0      1 [DISP] dlp_china_lcd_probe
<6>[    1.778483] c0      1 VFP support v0.3: implementor 51 architecture 64 part 6f variant 1 rev 0
<6>[    1.778544] c0      1 ThumbEE CPU extension supported.
<5>[    1.778574] c0      1 Registering SWP/SWPB emulation handler
<6>[    1.800183] c0      1 clock_late_init: Removing enables held for handed-off clocks
<6>[    1.804547] c0      1 [Port list] init()
<6>[    1.810987] c0      1 [PM] Acquire 'boot-time' no_halt_lock 60s
<6>[    1.811780] c0      1 [PM] msm_pm_init: msm_pm_boot_vector 0xc0d35484
<6>[    1.812208] c0    161 configure_bark_dump: dogbark processed by TZ side, regsave address = 0x8D9F0000
<6>[    1.813276] c0    161 set_bark_bite_time: successfully set WDT0_BARK_TIME to 589824 in 1 milliseconds!
<6>[    1.814314] c0    161 set_bark_bite_time: successfully set WDT0_BITE_TIME to 688128 in 1 milliseconds!
<6>[    1.814741] c0    161 MSM Watchdog Initialized
<6>[    1.820204] c0      1 [AUD] htc-acoustic: acoustic_register_ops 
<6>[    1.820235] c0      1 [AUD]dlp_china_aud_speaker_vdd_enable, power_vreg_name=tfa9887_vdd_LVS2, volt=1800000
<6>[    1.820936] c0      1 [AUD]dlp_china_aud_speaker_vdd_enable: Enable regulator tfa9887_vdd_LVS2 OK
<6>[    1.820936] c0      1 dlp_china_audio_init
<6>[    1.822157] c0      1 set_restart_reason: set restart reason = 776655aa
<6>[    1.822188] c0      1 set_restart_msg: set restart msg = `Unknown'
<6>[    1.822646] c0      1 perflock probe
<6>[    1.822829] c0      1 perflock floor init done
<6>[    1.822829] c0      1 perflock ceiling init done
<6>[    1.823500] c0      1 msm_sleep_stats: Initializing sleep stats 
<6>[    1.825148] c0      1 setting pdata->panel_info.fb_num to 1. type: 7
<6>[    1.826033] c0      1 msm_fb_resolution_override : ovr_src_height : 1080, ovr_src_width : 1920, ovr_dst_height : 1080, ovr_dst_width : 1920
<6>[    1.826339] c0      1 FrameBuffer[1] 1920x1080 size=0 bytes is registered successfully!
<6>[    1.826796] c0      1 mdp4_dtv_vsync_init: ndx=0
<3>[    1.827041] c0      1 hdmi_msm hdmi_msm.1: external_common_state_create: sysfs group de25aa08
<6>[    1.827071] c0      1 hdmi_msm hdmi_msm.1: HDMI HPD: ON
<6>[    1.827285] c0      1 hdmi_core_power(on): success
<6>[    1.935998] c0      1 hdmi_core_power(off): success
<6>[    1.936029] c0      1 hdmi_msm hdmi_msm.1: probe done
<6>[    1.936944] c0      1 setting pdata->panel_info.fb_num to 1. type: 10
<3>[    1.937219] c0      1 Inside writeback_probe
<6>[    1.937738] c0      1 msm_fb_resolution_override : ovr_src_height : 1920, ovr_src_width : 1920, ovr_dst_height : 1920, ovr_dst_width : 1920
<4>[    1.937799] c0      1 mdp_get_panel_framerate frame rate=60 is default
<6>[    1.938043] c0      1 FrameBuffer[2] 1920x1920 size=0 bytes is registered successfully!
<6>[    1.939447] c0      1 ion_client_create: create ion_client (msm_rotator) at de232f40
<6>[    1.940729] c0      1 msm_rotator_probe: rotator_hw_revision=2
<6>[    1.942560] c0      1 rtc-pm8xxx rtc-pm8xxx: setting system clock to 2013-12-05 04:01:34 UTC (1386216094)
<6>[    1.942713] c0      1 [BATT][BMS] pm8921_bms_probe
<4>[    1.943995] c0      1 [BATT]warn: cur_cell is initiated by htc_battery_cell_find_and_set_id_auto
<6>[    1.944025] c0      1 [BATT][BMS] set bms_battery_data (cell_id=1).
<6>[    1.945673] c0      1 [BATT][BMS] program rev reg is 0x30
<6>[    1.945704] c0      1 [BATT][BMS] trim reg=0x42, trim delta=7
<4>[    1.945795] c0      1 [BATT][CHG] pm8921_is_usb_chg_plugged_in: warn: called before init
<4>[    1.948359] c0    161 [BATT][CHG] pm8921_is_usb_chg_plugged_in: warn: called before init
<4>[    1.950984] c0      1 [BATT][CHG] pm8921_is_usb_chg_plugged_in: warn: called before init
<6>[    1.951014] c0      1 [BATT][BMS] read_soc_params_raw: Skip adjust_pon_ocv_raw due to ocv_updated_flag=0x1
<6>[    1.951045] c0      1 read_backup_cc_uv: cc_backup_uv=2717672, magic=fedcba07
<6>[    1.951075] c0      1 read_backup_cc_uv: cc_backup_uv=2717672, magic=fedcba07
<6>[    1.951106] c0      1 read_backup_ocv_at_100: ocv_at_100=9aaf, magic=fedcba07
<6>[    1.951136] c0      1 read_backup_ocv_uv: ocv_backup_uv=0, magic=fedcba07
<6>[    1.951167] c0      1 [BATT][BMS] read_soc_params_raw: last_good_ocv_raw=0x9aaf, last_good_ocv_uv/ori=4316363uV/4316363uVocv_reading_at_100=9aaf, cc_backup_uv=2717672, ocv_backup_uv=0, last_ocv_uv=4340000
<6>[    1.951258] c0      1 [BATT][BMS] pm8921_store_hw_reset_reason OCV_UPDATE_STORAGE=0x1->0x1
<6>[    1.951289] c0      1 [BATT][BMS] OK battery_capacity_at_boot=100, new_boot_soc=0, volt=4324056, ocv=4340000, batt_magic_num=0, stored_soc=0, curr_time=-1058342108, stored_time=0
<6>[    1.951350] c0      1 [BATT][BMS] r_sense=10,i_test=2000,v_failure=3000,default_rbatt_mohm=250
<6>[    1.951777] c0      1 [BATT][CHG] pm8921_apply_19p2mhz_kickstart
<6>[    1.953029] c0      1 [BATT][CHG] Init: Set vbatdet=5780
<6>[    1.957759] c0      1 [BATT][CHG] pm8921_chg_hw_init: write 0x209 as A4 for PMIC 3.0.1
<6>[    1.966946] c0      1 [CABLE] cable_detection_vbus_irq_handler
<6>[    1.966976] c0      1 [CABLE] cable_detection_vbus_irq_handler --
<6>[    1.968441] c0      1 [BATT] htc_charger_event_notify charger event=0
<6>[    1.968472] c0      1 [BATT] htc_gauge_event_notify gauge event=0
<6>[    1.968564] c0      1 [BATT][CHG] pm8921_charger_probe: max_vbat=4340, cool_vbat=4340, warm_vbat=4000,wlc_tx_gpio=0, vin_min=4400, vin_min_wlc=0
<6>[    1.969021] c0      1 [AUD] pm8921_audio: pm8921_audio_probe
<6>[    1.973447] c0      1 [K] ram_console: allocate buffer 20720 for last bldr log
<6>[    1.977323] c0      1 [K] bldr_log_parser: size 20720
<6>[    1.978147] c0      1 [K] ram_console: allocate buffer 20668 for bldr log
<6>[    1.981931] c0      1 [K] bldr_log_parser: size 20668
<6>[    1.982969] c0      1 ALSA device list:
<6>[    1.983000] c0      1   #0: apq8064-tabla-snd-card
<4>[    1.983091] c0      1 Warning: unable to open an initial console.
<6>[    1.984953] c0      1 Freeing init memory: 1036K
<3>[    1.988951] c1      1 init: property 'ro.hardware' doesn't exist while expanding '/init.${ro.hardware}.rc'
<3>[    1.989012] c1      1 init: error while handling import on line '7' in '/init.rc'
<3>[    2.000701] c1      1 init: /init.target.rc: 634: ignored duplicate definition of service 'hcidump'
<3>[    2.001312] c1      1 init: /init.target.rc: 867: invalid option 'chmod'
<3>[    2.001342] c1      1 init: /init.target.rc: 868: invalid option 'chmod'
<3>[    2.001373] c1      1 init: /init.target.rc: 869: invalid option 'chown'
<3>[    2.001373] c1      1 init: /init.target.rc: 870: invalid option 'chown'
<3>[    2.001403] c1      1 init: /init.target.rc: 873: ignored duplicate definition of service 'RescueStarter'
<4>[    2.001739] c1      1 init (1): /proc/1/oom_adj is deprecated, please use /proc/1/oom_score_adj instead.
<6>[    2.056065] c0    161 [USB] android_enable_function: android_enable_function: mtp enabled
<6>[    2.056096] c0    161 [USB] android_enable_function: android_enable_function: mass_storage enabled
<6>[    2.056126] c0    161 [USB] android_bind_enabled_functions: android_bind_enabled_functions bind name: mtp
<6>[    2.056157] c0    161 [USB] mtp_bind_config
<6>[    2.056188] c0    161 ===========interface_id 0 mtp
<6>[    2.056310] c0    161 [USB] android_bind_enabled_functions: android_bind_enabled_functions bind name: mass_storage
<6>[    2.056340] c0    161 ===========interface_id 1 mass_storage
<6>[    2.056401] c0    161 [USB] android_usb_init_work: android_usb_init_work: ret: 0
<6>[    2.066107] c3    166 [BATT][CHG] pm8921_is_pwr_src_plugged_in: usb_in=1, dc_in=0
<6>[    2.066137] c3    166 [CABLE] check_vbus_in: vbus = 0, vbus_in = 1
<6>[    2.066168] c3    166 [USBH] msm_otg_set_vbus_state: 1
<6>[    2.066198] c3    166 [USB] PMIC: BSV set
<6>[    2.066229] c3    166 [USB] PMIC: BSV init complete
<6>[    2.066259] c0     63 [USB] OTG_STATE_B_IDLE state
<6>[    2.066290] c0     63 [USBH] b_sess_vld
<6>[    2.066290] c0     63 [USBH] msm_chg_detect_work: state:CHG_STATE_UNDEFINED
